event,winner,loser,margin,winner_pickup_points,loser_pickup_points,winner_dropped_counterfactual_points,loser_dropped_counterfactual_points,winner_replacement_delta,loser_replacement_delta,replacement_edge,winner_replacement_players,loser_replacement_players
13,**Cunha Believe it?!,Amorim de mi vida,10,21,15,14,19,7,-4,11,Savona 1 vs Hincapie 1 (+0); Senesi 2 vs Botman 0 (+2); Pau 6 vs Bradley 0 (+6); Schade 3 vs O.Dango 12 (-9); Yeremy 2 vs Estêvão 1 (+1); Woltemade 7 vs Piroe 0 (+7),Digne 7 vs Dalot 2 (+5); Schär 1 vs Akanji 0 (+1); Zubimendi 0 vs Wirtz 3 (-3); L.Paquetá -1 vs Doku 2 (-3); Enzo 2 vs Wilson 10 (-8); Gravenberch 3 vs Tonali 1 (+2); Estêvão 1 vs P.M.Sarr 1 (+0); Igor Jesus 2 vs Havertz 0 (+2)
13,*Saka It To Me Baby,ChabosSpurs@Law,14,37,3,18,11,19,-8,27,Roefs 1 vs Ramsdale 2 (-1); Calafiori 0 vs Mykolenko 2 (-2); O'Reilly 4 vs O'Brien 0 (+4); Konsa 8 vs Trippier 0 (+8); Cash 6 vs Andersen 4 (+2); De Ligt 2 vs Mosquera 1 (+1); Merino 9 vs Cullen 2 (+7); Malen 3 vs Scott 0 (+3); Nmecha 4 vs Calvert-Lewin 7 (-3),Hume 0 vs Dunk 6 (-6); Grealish 2 vs Mac Allister 3 (-1); Ndoye 1 vs Enzo 2 (-1)
14,Into the WOODwork*,eze as u like b*%chs,4,20,2,1,3,19,-1,20,Matheus N. 2 vs Khusanov 0 (+2); Mykolenko 5 vs Keane 0 (+5); Xhaka 4 vs Garnacho 1 (+3); Doku 8 vs Estêvão 0 (+8); Flemming 1 vs G.Jesus 0 (+1),Keane 0 vs Collins 1 (-1); Anderson 2 vs Kluivert 2 (+0)
14,*Saka It To Me Baby,Amorim de mi vida,19,34,14,24,42,10,-28,38,Lammens 2 vs Johnstone 2 (+0); O'Reilly 0 vs O'Brien 6 (-6); Calafiori 7 vs Mykolenko 5 (+2); Hincapie 8 vs Thiaw 1 (+7); Mosquera 1 vs Milenković 6 (-5); Merino 13 vs Cullen 4 (+9); Martinelli 3 vs Georginio 0 (+3),Schär 1 vs Akanji 0 (+1); Digne 1 vs Dalot 15 (-14); Estêvão 0 vs P.M.Sarr 2 (-2); Zubimendi 3 vs Wirtz 7 (-4); Gravenberch 5 vs Tonali 1 (+4); Enzo 2 vs Wilson 8 (-6); Zirkzee 2 vs Igor Jesus 9 (-7)
15,Santa’s reijnders,*Saka It To Me Baby,10,20,24,3,26,17,-2,19,N.Williams 1 vs Botman 0 (+1); F.Kadıoğlu 1 vs Mings 0 (+1); Reijnders 1 vs Marmoush 1 (+0); Cherki 12 vs Reijnders 1 (+11); Barry 5 vs Foster 1 (+4),Lammens 2 vs Johnstone 1 (+1); Calafiori 1 vs Mykolenko 5 (-4); O'Reilly 6 vs O'Brien 8 (-2); O'Brien 8 vs Mosquera 0 (+8); Hincapie 3 vs Thiaw 2 (+1); Merino 1 vs Cullen 2 (-1); Martinelli 1 vs Georginio 8 (-7); Igor Jesus 2 vs Nmecha 0 (+2)
16,Grand-Larseny,Bowen Arrows,3,13,9,5,6,8,3,5,Van Hecke 1 vs Dorgu 1 (+0); Tavernier 12 vs Savinho 4 (+8); Isidor 0 vs Højlund 0 (+0),Tete 2 vs Cash 0 (+2); Wan-Bissaka 1 vs Frimpong 0 (+1); Hall 4 vs Robinson 3 (+1); Georginio 2 vs Garnacho 3 (-1)
16,Sue-nited FC*,*Saka It To Me Baby,9,51,18,20,10,31,8,23,Mitchell 1 vs Robertson 1 (+0); Gusto 18 vs Konaté 9 (+9); Kayode 5 vs Thiaw 3 (+2); O.Dango 2 vs Damsgaard 1 (+1); Minteh 2 vs Garner 4 (-2); Wirtz 5 vs Johnson 1 (+4); Wilson 16 vs J.Murphy 1 (+15); Richarlison 2 vs Abdullahi 0 (+2),Roefs 9 vs Ramsdale 2 (+7); White 1 vs De Ligt 0 (+1); Hincapie 4 vs Thiaw 3 (+1); Lewis-Skelly 1 vs O'Brien 1 (+0); Merino 1 vs Cullen 4 (-3); Igor Jesus 2 vs Nmecha 0 (+2)
18,**Cunha Believe it?!,*Saka It To Me Baby,9,31,14,5,19,26,-5,31,Senesi 2 vs Botman 0 (+2); Lewis-Potter 2 vs Shaw 5 (-3); Andersen 5 vs Pau 0 (+5); Schade 20 vs O.Dango 0 (+20); Woltemade 2 vs Piroe 0 (+2),Roefs 3 vs Ramsdale 3 (+0); Alderete 4 vs Thiaw 2 (+2); O'Reilly 1 vs O'Brien 6 (-5); Cash 1 vs Collins 4 (-3); Konaté 2 vs Lewis-Skelly 1 (+1); Anthony 1 vs Merino 2 (-1); E.Le Fée 2 vs Malen 1 (+1)
18,Sue-nited FC*,Bowen Arrows,3,34,17,21,11,13,6,7,Donnarumma 2 vs Perri 2 (+0); Mitchell 2 vs Robertson 0 (+2); Frimpong 5 vs Gusto 1 (+4); Kayode 3 vs Thiaw 2 (+1); Minteh 1 vs Garner 5 (-4); Wirtz 10 vs Johnson 1 (+9); Wilson 5 vs J.Murphy 2 (+3); Wilson 1 vs Calvert-Lewin 8 (-7); Richarlison 5 vs Abdullahi 0 (+5),Tete 6 vs Cash 1 (+5); Fofana 0 vs Gomez 0 (+0); Hall 2 vs Robinson 8 (-6); Robinson 8 vs Aït-Nouri 0 (+8); Mount 1 vs Dewsbury-Hall 0 (+1); Georginio 0 vs Garnacho 2 (-2)
18,Into the WOODwork*,Grand-Larseny,36,28,4,6,24,22,-20,42,James 6 vs Mosquera 0 (+6); Matheus N. 4 vs Khusanov 0 (+4); Cullen 1 vs Xavi 0 (+1); Ødegaard 10 vs Trossard 2 (+8); Xhaka 6 vs Garnacho 2 (+4); Flemming 1 vs Broja 2 (-1),Petrović -1 vs Bayindir 0 (-1); Van Hecke 3 vs Dorgu 17 (-14); Diakité 0 vs James 6 (-6); Tavernier 1 vs Savinho 1 (+0); Isidor 1 vs Højlund 0 (+1)
