season,manager,rank,player_code,player,position,club,points
2025-26,Ryan Donlan,56,486385,Norberto Bercique Gomes Betuncal,FWD,EVE,2
2025-26,Ryan Donlan,57,448104,Piero Hincapié,DEF,ARS,2
2025-26,Ryan Donlan,58,247693,Randal Kolo Muani,FWD,TOT,2
2025-26,Ryan Donlan,59,224967,Vitalii Mykolenko,DEF,EVE,2
2025-26,Ryan Donlan,60,613804,El Hadji Malick Diouf,DEF,WHU,1
2025-26,Ryan Donlan,61,210462,Ibrahim Sangaré,MID,NFO,1
2025-26,Ryan Donlan,62,550864,Leny Yoro,DEF,MUN,1
2025-26,Ryan Donlan,63,221820,Lisandro Martínez,DEF,MUN,1
2025-26,Ryan Donlan,64,477717,Maxime Estève,DEF,BUR,1
2025-26,Ryan Donlan,65,438234,Omar Marmoush,MID,MCI,1
2025-26,Ryan Donlan,66,596777,Patrick Dorgu,DEF,MUN,1
2025-26,Ryan Donlan,67,109646,Tosin Adarabioyo,DEF,CHE,1
2025-26,Ryan Donlan,68,154566,Dominic Solanke-Mitchell,FWD,TOT,0
2025-26,Ryan Houseman,1,226597,Gabriel dos Santos Magalhães,DEF,ARS,209
2025-26,Ryan Houseman,2,204480,Declan Rice,MID,ARS,161
2025-26,Ryan Houseman,3,424876,Dominik Szoboszlai,MID,LIV,160
2025-26,Ryan Houseman,4,154561,David Raya Martín,GKP,ARS,124
2025-26,Ryan Houseman,5,215379,Elliot Anderson,MID,NFO,124
2025-26,Ryan Houseman,6,50175,Danny Welbeck,FWD,BHA,123
2025-26,Ryan Houseman,7,232413,Eberechi Eze,MID,ARS,113
2025-26,Ryan Houseman,8,231747,Jean-Philippe Mateta,FWD,CRY,113
2025-26,Ryan Houseman,9,106611,Michael Keane,DEF,EVE,90
2025-26,Ryan Houseman,10,200834,Nordi Mukiele,DEF,SUN,81
2025-26,Ryan Houseman,11,494521,Adrien Truffert,DEF,BOU,60
2025-26,Ryan Houseman,12,223827,Daniel Ballard,DEF,SUN,46
2025-26,Ryan Houseman,13,154296,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,TOT,45
2025-26,Ryan Houseman,14,221632,Cristian Romero,DEF,TOT,44
2025-26,Ryan Houseman,15,463034,Liam Delap,FWD,CHE,33
2025-26,Ryan Houseman,16,98980,Emiliano Martínez Romero,GKP,AVL,29
2025-26,Ryan Houseman,17,432830,Nathan Collins,DEF,BRE,27
2025-26,Ryan Houseman,18,466525,Anton Stach,MID,LEE,19
2025-26,Ryan Houseman,19,209046,Callum Hudson-Odoi,MID,NFO,18
2025-26,Ryan Houseman,20,171314,Rúben dos Santos Gato Alves Dias,DEF,MCI,17
2025-26,Ryan Houseman,21,575476,Murillo Costa dos Santos,DEF,NFO,10
2025-26,Ryan Houseman,22,174594,Lukas Nmecha,FWD,LEE,8
2025-26,Ryan Houseman,23,222683,Justin Kluivert,MID,BOU,5
