season,manager,rank,player_code,player,position,club,points
2024-25,Ryan Donlan,26,516939,Emmanuel Agbadou,DEF,WOL,16
2024-25,Ryan Donlan,27,205651,Gabriel Fernando de Jesus,FWD,ARS,16
2024-25,Ryan Donlan,28,199796,Matty Cash,DEF,AVL,15
2024-25,Ryan Donlan,29,469142,Jan Paul van Hecke,DEF,BHA,13
2024-25,Ryan Donlan,30,109745,Kepa Arrizabalaga,GKP,BOU,12
2024-25,Ryan Donlan,31,221820,Lisandro Martínez,DEF,MUN,12
2024-25,Ryan Donlan,32,98747,Nick Pope,GKP,NEW,12
2024-25,Ryan Donlan,33,448047,Enzo Fernández,MID,CHE,11
2024-25,Ryan Donlan,34,184349,Ryan Sessegnon,DEF,FUL,11
2024-25,Ryan Donlan,35,427623,Chris Richards,DEF,CRY,10
2024-25,Ryan Donlan,36,192895,Kieran Tierney,DEF,ARS,10
2024-25,Ryan Donlan,37,180736,Trevoh Chalobah,DEF,CHE,10
2024-25,Ryan Donlan,38,200720,Caoimhin Kelleher,GKP,LIV,8
2024-25,Ryan Donlan,39,508479,Filip Jørgensen,GKP,CHE,8
2024-25,Ryan Donlan,40,18892,Ashley Young,DEF,EVE,7
2024-25,Ryan Donlan,41,441302,Ian Maatsen,DEF,AVL,7
2024-25,Ryan Donlan,42,224967,Vitalii Mykolenko,DEF,EVE,7
2024-25,Ryan Donlan,43,54469,Adam Smith,DEF,BOU,6
2024-25,Ryan Donlan,44,110735,Adam Webster,DEF,BHA,6
2024-25,Ryan Donlan,45,219924,Issa Diop,DEF,FUL,6
2024-25,Ryan Donlan,46,231057,Jean-Ricner Bellegarde,MID,WOL,5
2024-25,Ryan Donlan,47,433312,Marshall Munetsi,MID,WOL,5
2024-25,Ryan Donlan,48,195384,Mikel Merino,MID,ARS,5
2024-25,Ryan Donlan,49,177815,Dominic Calvert-Lewin,FWD,EVE,4
2024-25,Ryan Donlan,50,205533,Eddie Nketiah,FWD,CRY,4
2024-25,Ryan Donlan,51,474120,Julio Enciso,MID,IPS,4
2024-25,Ryan Donlan,52,511499,Mathys Tel,MID,TOT,4
2024-25,Ryan Donlan,53,245419,Patson Daka,FWD,LEI,4
2024-25,Ryan Donlan,54,209046,Callum Hudson-Odoi,MID,NFO,3
2024-25,Ryan Donlan,55,59859,Ilkay Gündogan,MID,MCI,3
2024-25,Ryan Donlan,56,171287,Joe Gomez,DEF,LIV,3
2024-25,Ryan Donlan,57,222683,Justin Kluivert,MID,BOU,3
2024-25,Ryan Donlan,58,69752,Norberto Murara Neto,GKP,ARS,3
2024-25,Ryan Donlan,59,155511,Adam Armstrong,FWD,SOU,2
2024-25,Ryan Donlan,60,232892,Calvin Bassey,DEF,FUL,2
2024-25,Ryan Donlan,61,477580,Illia Zabarnyi,DEF,BOU,2
2024-25,Ryan Donlan,62,465351,Matheus Luiz Nunes,MID,MCI,2
2024-25,Ryan Donlan,63,230001,Noussair Mazraoui,DEF,MUN,2
2024-25,Ryan Donlan,64,200402,Nélson Cabral Semedo,DEF,WOL,2
2024-25,Ryan Donlan,65,441164,Pedro Porro,DEF,TOT,2
2024-25,Ryan Donlan,66,204214,Pervis Estupiñán,DEF,BHA,2
2024-25,Ryan Donlan,67,592031,Yankuba Minteh,MID,BHA,2
2024-25,Ryan Donlan,68,449434,Anthony Elanga,MID,NFO,1
2024-25,Ryan Donlan,69,75115,Callum Wilson,FWD,NEW,1
2024-25,Ryan Donlan,70,231065,Ethan Pinnock,DEF,BRE,1
2024-25,Ryan Donlan,71,77794,Kieran Trippier,DEF,NEW,1
2024-25,Ryan Donlan,72,467189,Mads Hermansen,GKP,LEI,1
2024-25,Ryan Donlan,73,174292,Marco Asensio,MID,AVL,1
2024-25,Ryan Donlan,74,444463,Wesley Fofana,DEF,CHE,1
2024-25,Ryan Donlan,75,218218,Wout Faes,DEF,LEI,1
2024-25,Ryan Donlan,76,512462,Jake O'Brien,DEF,EVE,0
2024-25,Ryan Donlan,77,441428,Jarell Quansah,DEF,LIV,0
2024-25,Ryan Donlan,78,244954,Pau Torres,DEF,AVL,0
2024-25,Ryan Donlan,79,596777,Patrick Dorgu,DEF,MUN,-3
2024-25,Ryan Houseman,1,60689,Chris Wood,FWD,NFO,200
2024-25,Ryan Houseman,2,231747,Jean-Philippe Mateta,FWD,CRY,148
2024-25,Ryan Houseman,3,232413,Eberechi Eze,MID,CRY,136
2024-25,Ryan Houseman,4,227444,Nikola Milenković,DEF,NFO,123
2024-25,Ryan Houseman,5,209244,Phil Foden,MID,MCI,104
2024-25,Ryan Houseman,6,172649,Dean Henderson,GKP,CRY,94
2024-25,Ryan Houseman,7,208706,Bruno Guimarães Rodriguez Moura,MID,NEW,78
2024-25,Ryan Houseman,8,248857,Noni Madueke,MID,CHE,78
2024-25,Ryan Houseman,9,554605,Dean Huijsen,DEF,BOU,54
2024-25,Ryan Houseman,10,215136,Neco Williams,DEF,NFO,54
2024-25,Ryan Houseman,11,201658,Marcus Tavernier,MID,BOU,50
2024-25,Ryan Houseman,12,440993,Iliman Ndiaye,FWD,EVE,42
2024-25,Ryan Houseman,13,230001,Noussair Mazraoui,DEF,MUN,37
2024-25,Ryan Houseman,14,214590,Aaron Wan-Bissaka,DEF,WHU,35
2024-25,Ryan Houseman,15,533463,Dango Ouattara,MID,BOU,27
2024-25,Ryan Houseman,16,91651,Mateo Kovačić,MID,MCI,25
2024-25,Ryan Houseman,17,211975,Manuel Akanji,DEF,MCI,23
2024-25,Ryan Houseman,18,167074,Kenny Tete,DEF,FUL,22
2024-25,Ryan Houseman,19,232917,Arijanet Muric,GKP,IPS,16
2024-25,Ryan Houseman,20,153682,Harry Wilson,MID,FUL,16
2024-25,Ryan Houseman,21,149065,José Malheiro de Sá,GKP,WOL,16
2024-25,Ryan Houseman,22,477580,Illia Zabarnyi,DEF,BOU,15
2024-25,Ryan Houseman,23,18892,Ashley Young,DEF,EVE,11
2024-25,Ryan Houseman,24,168636,Enes Ünal,FWD,BOU,11
2024-25,Ryan Houseman,25,84182,Alphonse Areola,GKP,WHU,10
2024-25,Ryan Houseman,26,448089,João Victor Gomes da Silva,MID,WOL,10
2024-25,Ryan Houseman,27,116216,Leandro Trossard,MID,ARS,9
2024-25,Ryan Houseman,28,432422,Sandro Tonali,MID,NEW,4
2024-25,Ryan Houseman,29,441191,Tino Livramento,DEF,NEW,4
2024-25,Ryan Houseman,30,75115,Callum Wilson,FWD,NEW,3
2024-25,Ryan Houseman,31,221466,Marcos Senesi,DEF,BOU,3
2024-25,Ryan Houseman,32,225796,Reece James,DEF,CHE,3
2024-25,Ryan Houseman,33,210156,Taiwo Awoniyi,FWD,NFO,3
2024-25,Ryan Houseman,34,441302,Ian Maatsen,DEF,AVL,2
2024-25,Ryan Houseman,35,49262,Jason Steele,GKP,BHA,2
2024-25,Ryan Houseman,36,111478,Joël Veltman,DEF,BHA,2
2024-25,Ryan Houseman,37,220566,Rodrigo 'Rodri' Hernandez,MID,MCI,2
2024-25,Ryan Houseman,38,166989,Youri Tielemans,MID,AVL,2
2024-25,Ryan Houseman,39,493105,Alejandro Garnacho,MID,MUN,1
2024-25,Ryan Houseman,40,503301,Omari Giraud-Hutchinson,MID,IPS,1
2024-25,Ryan Houseman,41,171314,Rúben Gato Alves Dias,DEF,MCI,1
2024-25,Ryan Houseman,42,224967,Vitalii Mykolenko,DEF,EVE,1
