season,manager,formation,xi_points,position,slot,player_code,player,points,seasons
2024-25,Drake Byrd,4-4-2,1222,DEF,1,247348,Daniel Muñoz,128,2024-25
2024-25,Drake Byrd,4-4-2,1222,DEF,2,244723,Tyrick Mitchell,120,2024-25
2024-25,Drake Byrd,4-4-2,1222,DEF,3,169528,Antonee Robinson,106,2024-25
2024-25,Drake Byrd,4-4-2,1222,DEF,4,445122,Jurriën Timber,101,2024-25
2024-25,Drake Byrd,4-4-2,1222,MID,1,141746,Bruno Borges Fernandes,162,2024-25
2024-25,Drake Byrd,4-4-2,1222,MID,2,244731,Luis Díaz,124,2024-25
2024-25,Drake Byrd,4-4-2,1222,MID,3,493250,Amad Diallo,107,2024-25
2024-25,Drake Byrd,4-4-2,1222,MID,4,513418,Kevin Schade,107,2024-25
2024-25,Drake Byrd,4-4-2,1222,FWD,1,247412,Jørgen Strand Larsen,125,2024-25
2024-25,Drake Byrd,4-4-2,1222,FWD,2,458249,Joshua Zirkzee,45,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,GKP,1,489639,Bart Verbruggen,60,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,DEF,1,477424,Joško Gvardiol,145,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,DEF,2,122798,Andrew Robertson,90,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,DEF,3,482609,Malo Gusto,51,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,MID,1,445044,Dejan Kulusevski,116,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,MID,2,184029,Martin Ødegaard,116,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,MID,3,242898,Brennan Johnson,107,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,MID,4,460842,Mohammed Kudus,98,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,MID,5,232185,Ismaïla Sarr,86,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,FWD,1,219168,Alexander Isak,200,2024-25
2024-25,Ethan Ellsworth,3-5-2,1164,FWD,2,444102,Francisco Evanilson de Lima Barbosa,95,2024-25
2024-25,Alexander Chaban,4-4-2,1000,GKP,1,118342,Mark Flekken,53,2024-25
2024-25,Alexander Chaban,4-4-2,1000,DEF,1,544877,Milos Kerkez,87,2024-25
2024-25,Alexander Chaban,4-4-2,1000,DEF,2,159506,Ola Aina,79,2024-25
2024-25,Alexander Chaban,4-4-2,1000,DEF,3,437499,Maxence Lacroix,66,2024-25
2024-25,Alexander Chaban,4-4-2,1000,DEF,4,448514,Rayan Aït-Nouri,64,2024-25
2024-25,Alexander Chaban,4-4-2,1000,MID,1,437730,Antoine Semenyo,165,2024-25
2024-25,Alexander Chaban,4-4-2,1000,MID,2,449434,Anthony Elanga,97,2024-25
2024-25,Alexander Chaban,4-4-2,1000,MID,3,61366,Kevin De Bruyne,97,2024-25
2024-25,Alexander Chaban,4-4-2,1000,MID,4,165809,Bernardo Veiga de Carvalho e Silva,72,2024-25
2024-25,Alexander Chaban,4-4-2,1000,FWD,1,243298,Cody Gakpo,120,2024-25
2024-25,Alexander Chaban,4-4-2,1000,FWD,2,154566,Dominic Solanke-Mitchell,100,2024-25
2024-25,Dylan Reid,3-5-2,896,GKP,1,98747,Nick Pope,54,2024-25
2024-25,Dylan Reid,3-5-2,896,DEF,1,78916,Dan Burn,100,2024-25
2024-25,Dylan Reid,3-5-2,896,DEF,2,441164,Pedro Porro,82,2024-25
2024-25,Dylan Reid,3-5-2,896,DEF,3,17761,James Tarkowski,60,2024-25
2024-25,Dylan Reid,3-5-2,896,MID,1,232826,Anthony Gordon,121,2024-25
2024-25,Dylan Reid,3-5-2,896,MID,2,424876,Dominik Szoboszlai,79,2024-25
2024-25,Dylan Reid,3-5-2,896,MID,3,85971,Son Heung-min,63,2024-25
2024-25,Dylan Reid,3-5-2,896,MID,4,213198,Christopher Nkunku,53,2024-25
2024-25,Dylan Reid,3-5-2,896,MID,5,448047,Enzo Fernández,47,2024-25
2024-25,Dylan Reid,3-5-2,896,FWD,1,517052,Nicolas Jackson,121,2024-25
2024-25,Dylan Reid,3-5-2,896,FWD,2,101668,Jamie Vardy,116,2024-25
