season,manager,formation,xi_points,position,slot,player_code,player,points,seasons
2024-25,Ryan Donlan,3-5-2,1135,GKP,1,116535,Alisson Ramses Becker,58,2024-25
2024-25,Ryan Donlan,3-5-2,1135,DEF,1,169187,Trent Alexander-Arnold,127,2024-25
2024-25,Ryan Donlan,3-5-2,1135,DEF,2,462424,William Saliba,117,2024-25
2024-25,Ryan Donlan,3-5-2,1135,DEF,3,480455,Jarrad Branthwaite,29,2024-25
2024-25,Ryan Donlan,3-5-2,1135,MID,1,446008,Bryan Mbeumo,166,2024-25
2024-25,Ryan Donlan,3-5-2,1135,MID,2,114243,Jacob Murphy,117,2024-25
2024-25,Ryan Donlan,3-5-2,1135,MID,3,209289,Emile Smith Rowe,60,2024-25
2024-25,Ryan Donlan,3-5-2,1135,MID,4,451340,Mitoma Kaoru,57,2024-25
2024-25,Ryan Donlan,3-5-2,1135,MID,5,85971,Son Heung-min,52,2024-25
2024-25,Ryan Donlan,3-5-2,1135,FWD,1,223094,Erling Haaland,181,2024-25
2024-25,Ryan Donlan,3-5-2,1135,FWD,2,430871,Matheus Santos Carneiro Da Cunha,171,2024-25
2024-25,Justin Miller,3-5-2,1329,GKP,1,85633,Matz Sels,67,2024-25
2024-25,Justin Miller,3-5-2,1329,DEF,1,97032,Virgil van Dijk,136,2024-25
2024-25,Justin Miller,3-5-2,1329,DEF,2,575476,Murillo Santiago Costa dos Santos,100,2024-25
2024-25,Justin Miller,3-5-2,1329,DEF,3,441191,Tino Livramento,38,2024-25
2024-25,Justin Miller,3-5-2,1329,MID,1,178186,Jarrod Bowen,168,2024-25
2024-25,Justin Miller,3-5-2,1329,MID,2,244850,Morgan Rogers,159,2024-25
2024-25,Justin Miller,3-5-2,1329,MID,3,222531,Morgan Gibbs-White,148,2024-25
2024-25,Justin Miller,3-5-2,1329,MID,4,118748,Mohamed Salah,122,2024-25
2024-25,Justin Miller,3-5-2,1329,MID,5,172780,James Maddison,102,2024-25
2024-25,Justin Miller,3-5-2,1329,FWD,1,178301,Ollie Watkins,186,2024-25
2024-25,Justin Miller,3-5-2,1329,FWD,2,463034,Liam Delap,103,2024-25
2024-25,Ryan Houseman,3-5-2,1119,GKP,1,172649,Dean Henderson,94,2024-25
2024-25,Ryan Houseman,3-5-2,1119,DEF,1,227444,Nikola Milenković,123,2024-25
2024-25,Ryan Houseman,3-5-2,1119,DEF,2,554605,Dean Huijsen,54,2024-25
2024-25,Ryan Houseman,3-5-2,1119,DEF,3,215136,Neco Williams,54,2024-25
2024-25,Ryan Houseman,3-5-2,1119,MID,1,232413,Eberechi Eze,136,2024-25
2024-25,Ryan Houseman,3-5-2,1119,MID,2,209244,Phil Foden,104,2024-25
2024-25,Ryan Houseman,3-5-2,1119,MID,3,208706,Bruno Guimarães Rodriguez Moura,78,2024-25
2024-25,Ryan Houseman,3-5-2,1119,MID,4,248857,Noni Madueke,78,2024-25
2024-25,Ryan Houseman,3-5-2,1119,MID,5,201658,Marcus Tavernier,50,2024-25
2024-25,Ryan Houseman,3-5-2,1119,FWD,1,60689,Chris Wood,200,2024-25
2024-25,Ryan Houseman,3-5-2,1119,FWD,2,231747,Jean-Philippe Mateta,148,2024-25
2024-25,Levi Morant,3-4-3,700,GKP,1,154561,David Raya Martin,43,2024-25
2024-25,Levi Morant,3-4-3,700,DEF,1,226597,Gabriel dos Santos Magalhães,51,2024-25
2024-25,Levi Morant,3-4-3,700,DEF,2,487838,Lewis Hall,37,2024-25
2024-25,Levi Morant,3-4-3,700,DEF,3,198869,Benjamin White,28,2024-25
2024-25,Levi Morant,3-4-3,700,MID,1,244851,Cole Palmer,128,2024-25
2024-25,Levi Morant,3-4-3,700,MID,2,223340,Bukayo Saka,116,2024-25
2024-25,Levi Morant,3-4-3,700,MID,3,446008,Bryan Mbeumo,70,2024-25
2024-25,Levi Morant,3-4-3,700,MID,4,244731,Luis Díaz,59,2024-25
2024-25,Levi Morant,3-4-3,700,FWD,1,486385,Norberto Bercique Gomes Betuncal,61,2024-25
2024-25,Levi Morant,3-4-3,700,FWD,2,440993,Iliman Ndiaye,56,2024-25
2024-25,Levi Morant,3-4-3,700,FWD,3,50175,Danny Welbeck,51,2024-25
2024-25,Luke Lockwood,3-5-2,924,GKP,1,154561,David Raya Martin,92,2024-25
2024-25,Luke Lockwood,3-5-2,924,DEF,1,204716,Ibrahima Konaté,59,2024-25
2024-25,Luke Lockwood,3-5-2,924,DEF,2,216051,Diogo Dalot Teixeira,56,2024-25
2024-25,Luke Lockwood,3-5-2,924,DEF,3,119471,Fabian Schär,51,2024-25
2024-25,Luke Lockwood,3-5-2,924,MID,1,153133,Alex Iwobi,137,2024-25
2024-25,Luke Lockwood,3-5-2,924,MID,2,116216,Leandro Trossard,104,2024-25
2024-25,Luke Lockwood,3-5-2,924,MID,3,244851,Cole Palmer,86,2024-25
2024-25,Luke Lockwood,3-5-2,924,MID,4,451340,Mitoma Kaoru,73,2024-25
2024-25,Luke Lockwood,3-5-2,924,MID,5,440089,Mikkel Damsgaard,66,2024-25
2024-25,Luke Lockwood,3-5-2,924,FWD,1,102057,Raúl Jiménez,131,2024-25
2024-25,Luke Lockwood,3-5-2,924,FWD,2,438234,Omar Marmoush,69,2024-25
2024-25,Julius Long,3-4-3,1210,GKP,1,111234,Jordan Pickford,118,2024-25
2024-25,Julius Long,3-4-3,1210,DEF,1,179268,Marc Cucurella Saseta,133,2024-25
2024-25,Julius Long,3-4-3,1210,DEF,2,432830,Nathan Collins,120,2024-25
2024-25,Julius Long,3-4-3,1210,DEF,3,209036,Marc Guéhi,109,2024-25
2024-25,Julius Long,3-4-3,1210,MID,1,118748,Mohamed Salah,222,2024-25
2024-25,Julius Long,3-4-3,1210,MID,2,444145,Gabriel Martinelli Silva,89,2024-25
2024-25,Julius Long,3-4-3,1210,MID,3,194634,Diogo Teixeira da Silva,79,2024-25
2024-25,Julius Long,3-4-3,1210,MID,4,224024,Lucas Tolentino Coelho de Lima,65,2024-25
2024-25,Julius Long,3-4-3,1210,FWD,1,216646,Yoane Wissa,184,2024-25
2024-25,Julius Long,3-4-3,1210,FWD,2,476344,Jhon Durán,46,2024-25
2024-25,Julius Long,3-4-3,1210,FWD,3,497894,Rasmus Højlund,45,2024-25
2024-25,Drake Byrd,4-4-2,1222,GKP,1,98980,Emiliano Martínez Romero,97,2024-25
