season,manager,rank,player_code,player,position,club,points
2026-27,Alexander Chaban,1,610799,Luka Vušković,DEF,BHA,32
2026-27,Alexander Chaban,2,244850,Morgan Rogers,MID,CHE,29
2026-27,Alexander Chaban,3,154561,David Raya Martín,GKP,ARS,27
2026-27,Alexander Chaban,4,97032,Virgil van Dijk,DEF,LIV,25
2026-27,Alexander Chaban,5,441264,Brian Brobbey,FWD,SUN,24
2026-27,Alexander Chaban,6,169528,Antonee Robinson,DEF,FUL,10
2026-27,Alexander Chaban,7,499604,Rayan Vitor Simplício Rocha,MID,BOU,10
2026-27,Alexander Chaban,8,433969,Zion Suzuki,GKP,AVL,10
2026-27,Alexander Chaban,9,463034,Liam Delap,FWD,NFO,9
2026-27,Alexander Chaban,10,441164,Pedro Porro Sauceda,DEF,TOT,9
2026-27,Alexander Chaban,11,199798,Ezri Konsa Ngoyo,DEF,ARS,8
2026-27,Alexander Chaban,12,510281,Sávio Moreira de Oliveira,MID,TOT,8
2026-27,Alexander Chaban,13,550615,Tyrique George,MID,EVE,4
2026-27,Alexander Chaban,14,577725,Josh King,MID,FUL,2
2026-27,Alexander Chaban,15,460842,Mohammed Kudus,MID,TOT,1
2026-27,Alexander Chaban,16,493250,Amad Diallo,MID,MUN,0
2026-27,Alexander Chaban,17,538007,Promise David,FWD,BHA,0
2026-27,Drake Byrd,1,243298,Cody Gakpo,MID,LIV,32
2026-27,Drake Byrd,2,141746,Bruno Borges Fernandes,MID,MUN,31
2026-27,Drake Byrd,3,184029,Martin Ødegaard,MID,ARS,29
2026-27,Drake Byrd,4,466075,Riccardo Calafiori,DEF,ARS,29
2026-27,Drake Byrd,5,487838,Lewis Hall,DEF,NEW,28
2026-27,Drake Byrd,6,444102,Francisco Evanilson de Lima Barbosa,FWD,BOU,18
2026-27,Drake Byrd,7,169432,Oli McBurnie,FWD,HUL,13
2026-27,Drake Byrd,8,166989,Youri Tielemans,MID,MUN,10
2026-27,Drake Byrd,9,449434,Anthony Elanga,MID,NEW,9
2026-27,Drake Byrd,10,498016,Robin Roefs,GKP,SUN,9
2026-27,Drake Byrd,11,223827,Daniel Ballard,DEF,SUN,8
2026-27,Drake Byrd,12,473284,Konstantinos Tzolakis,GKP,HUL,8
2026-27,Drake Byrd,13,247348,Daniel Muñoz Mejía,DEF,NFO,5
2026-27,Drake Byrd,14,485711,Benjamin Sesko,FWD,MUN,2
2026-27,Drake Byrd,15,455084,Leif Davis,DEF,IPS,2
2026-27,Drake Byrd,16,199796,Matty Cash,DEF,AVL,-1
2026-27,Dylan Reid,1,475168,João Pedro Junqueira de Jesus,FWD,CHE,33
2026-27,Dylan Reid,2,469142,Jan Paul van Hecke,DEF,TOT,23
